gvkey,fyear,datadate,ceq,xstfws,conm,gsector
100336,2021,2022-03-31,1350872.0000,,DAIICHI SANKYO COMPANY LTD,35
100336,2022,2023-03-31,1445855.0000,,DAIICHI SANKYO COMPANY LTD,35
100367,2019,2020-01-31,310.6940,,COMFORT GLOVES BHD,35
100367,2020,2021-01-31,582.1730,,COMFORT GLOVES BHD,35
100367,2021,2021-12-31,934.9460,,COMFORT GLOVES BHD,35
100367,2022,2022-12-31,892.0460,,COMFORT GLOVES BHD,35
100418,2019,2020-03-31,678127.0000,,EISAI CO LTD,35
100418,2020,2021-03-31,703183.0000,,EISAI CO LTD,35
100418,2021,2022-03-31,748821.0000,,EISAI CO LTD,35
100418,2022,2023-03-31,799959.0000,,EISAI CO LTD,35
100425,2020,2020-12-31,2885.1660,,HAW PAR CORP LTD,35
100425,2021,2021-12-31,3211.4760,,HAW PAR CORP LTD,35
100425,2022,2022-12-31,3548.7170,,HAW PAR CORP LTD,35
100433,2019,2020-03-31,645042.0000,,HOYA CORP,35
100433,2020,2021-03-31,688001.0000,,HOYA CORP,35
100433,2021,2022-03-31,803851.0000,,HOYA CORP,35
100433,2022,2023-03-31,818321.0000,,HOYA CORP,35
100441,2020,2020-12-31,980003.0000,,CHUGAI PHARMACEUTICAL CO LTD,35
100441,2021,2021-12-31,1188017.0000,,CHUGAI PHARMACEUTICAL CO LTD,35
100441,2022,2022-12-31,1424386.0000,,CHUGAI PHARMACEUTICAL CO LTD,35
100516,2020,2020-12-31,698396.0000,,KYOWA KIRIN CO LTD,35
100516,2021,2021-12-31,737162.0000,,KYOWA KIRIN CO LTD,35
100516,2022,2022-12-31,762826.0000,,KYOWA KIRIN CO LTD,35
100643,2019,2020-03-31,712078.0000,,TAISHO PHARMACEUTICAL HLDGS,35
100643,2020,2021-03-31,729507.0000,,TAISHO PHARMACEUTICAL HLDGS,35
100643,2021,2022-03-31,748151.0000,,TAISHO PHARMACEUTICAL HLDGS,35
100643,2022,2023-03-31,786568.0000,,TAISHO PHARMACEUTICAL HLDGS,35
100668,2019,2020-03-31,1289168.0000,,ASTELLAS PHARMA INC,35
100668,2020,2021-03-31,1386115.0000,,ASTELLAS PHARMA INC,35
100668,2021,2022-03-31,1460308.0000,,ASTELLAS PHARMA INC,35
100668,2022,2023-03-31,1507954.0000,,ASTELLAS PHARMA INC,35
100686,2019,2020-03-31,370747.0000,,OLYMPUS CORP,35
100686,2020,2021-03-31,394326.0000,,OLYMPUS CORP,35
100686,2021,2022-03-31,510168.0000,,OLYMPUS CORP,35
100686,2022,2023-03-31,640085.0000,,OLYMPUS CORP,35
100707,2019,2020-03-31,764560.0000,,SHIONOGI & CO LTD,35
100707,2020,2021-03-31,846108.0000,,SHIONOGI & CO LTD,35
100707,2021,2022-03-31,975661.0000,,SHIONOGI & CO LTD,35
100707,2022,2023-03-31,1100047.0000,,SHIONOGI & CO LTD,35
100718,2019,2020-03-31,4723483.0000,,TAKEDA PHARMACEUTICAL CO LTD,35
100718,2020,2021-03-31,5173037.0000,,TAKEDA PHARMACEUTICAL CO LTD,35
100718,2021,2022-03-31,5683019.0000,,TAKEDA PHARMACEUTICAL CO LTD,35
100718,2022,2023-03-31,6354123.0000,,TAKEDA PHARMACEUTICAL CO LTD,35
100751,2020,2020-12-31,7271.0000,,UCB SA-NV,35
100751,2021,2021-12-31,8386.0000,,UCB SA-NV,35
100751,2022,2022-12-31,9064.0000,,UCB SA-NV,35
101204,2020,2020-12-31,63001.0000,59.0000,SANOFI,35
101204,2021,2021-12-31,68681.0000,44.0000,SANOFI,35
101204,2022,2022-12-31,74784.0000,47.0000,SANOFI,35
101248,2020,2020-12-31,32268.0000,,ESSILORLUXOTTICA,35
101248,2021,2021-12-31,35187.0000,,ESSILORLUXOTTICA,35
101248,2022,2022-12-31,37455.0000,,ESSILORLUXOTTICA,35
101256,2019,2020-03-31,973.8000,,FISHER & PAYKEL HEALTHCARE,35
101256,2020,2021-03-31,1520.9000,,FISHER & PAYKEL HEALTHCARE,35
101256,2021,2022-03-31,1679.7000,,FISHER & PAYKEL HEALTHCARE,35
101256,2022,2023-03-31,1753.4000,,FISHER & PAYKEL HEALTHCARE,35
101310,2020,2020-12-31,56598.0000,,NOVARTIS AG,35
101310,2021,2021-12-31,67655.0000,,NOVARTIS AG,35
101310,2022,2022-12-31,59342.0000,,NOVARTIS AG,35
101317,2020,2020-12-31,5279.0000,2.0000,SMITH & NEPHEW PLC,35
101317,2021,2021-12-31,5568.0000,3.0000,SMITH & NEPHEW PLC,35
101317,2022,2022-12-31,5259.0000,2.0000,SMITH & NEPHEW PLC,35
101452,2019,2020-03-31,45081.0000,,JEOL LTD,35
101452,2020,2021-03-31,51000.0000,,JEOL LTD,35
101452,2021,2022-03-31,85905.0000,,JEOL LTD,35
101452,2022,2023-03-31,101896.0000,,JEOL LTD,35
101483,2020,2020-12-31,2792.9010,,FINANCIERE DE TUBIZE S.A.,35
101483,2021,2021-12-31,3246.8260,,FINANCIERE DE TUBIZE S.A.,35
101483,2022,2022-12-31,1751.6200,,FINANCIERE DE TUBIZE S.A.,35
101538,2020,2020-09-30,7406.0000,7.0000,COLOPLAST A/S,35
101538,2021,2021-09-30,8168.0000,2.0000,COLOPLAST A/S,35
101538,2022,2022-09-30,8292.0000,-2.0000,COLOPLAST A/S,35
101870,2020,2020-12-31,733.1830,0.2000,SIEGFRIED HOLDING LTD,35
101870,2021,2021-12-31,688.2170,0.3000,SIEGFRIED HOLDING LTD,35
101870,2022,2022-12-31,790.9280,0.2000,SIEGFRIED HOLDING LTD,35
101933,2020,2020-06-30,4535.7820,0.9360,ADCOCK INGRAM HOLDINGS LTD,35
101933,2021,2021-06-30,4682.3480,17.9530,ADCOCK INGRAM HOLDINGS LTD,35
101933,2022,2022-06-30,5244.8940,40.2270,ADCOCK INGRAM HOLDINGS LTD,35
101933,2023,2023-06-30,5387.9380,44.1040,ADCOCK INGRAM HOLDINGS LTD,35
101975,2019,2020-03-31,128469.0000,,KAKEN PHARMACEUTICAL CO LTD,35
101975,2020,2021-03-31,136258.0000,,KAKEN PHARMACEUTICAL CO LTD,35
101975,2021,2022-03-31,137748.0000,,KAKEN PHARMACEUTICAL CO LTD,35
101975,2022,2023-03-31,136259.0000,,KAKEN PHARMACEUTICAL CO LTD,35
102025,2019,2020-03-31,529485.0000,,SUMITOMO PHARMA CO LTD,35
102025,2020,2021-03-31,580570.0000,,SUMITOMO PHARMA CO LTD,35
102025,2021,2022-03-31,607888.0000,,SUMITOMO PHARMA CO LTD,35
102025,2022,2023-03-31,406749.0000,,SUMITOMO PHARMA CO LTD,35
102146,2019,2020-03-31,754814.0000,,TERUMO CORP,35
102146,2020,2021-03-31,856662.0000,,TERUMO CORP,35
102146,2021,2022-03-31,1012314.0000,,TERUMO CORP,35
102146,2022,2023-03-31,1111063.0000,,TERUMO CORP,35
102156,2019,2020-03-31,205378.0000,,TSUMURA & CO,35
102156,2020,2021-03-31,217787.0000,,TSUMURA & CO,35
102156,2021,2022-03-31,239771.0000,,TSUMURA & CO,35
102156,2022,2023-03-31,252048.0000,,TSUMURA & CO,35
102171,2020,2020-12-31,71.1000,,ASCOM AG,35
102171,2021,2021-12-31,80.0000,,ASCOM AG,35
102171,2022,2022-12-31,73.4000,,ASCOM AG,35
102218,2020,2020-12-31,1032.9000,4.1240,DRAEGERWERK AG,35
102218,2021,2021-12-31,1259.9110,3.3340,DRAEGERWERK AG,35
102218,2022,2022-12-31,1318.0470,4.1840,DRAEGERWERK AG,35
102279,2019,2020-03-31,103228.0000,,HU GROUP HOLDINGS INC,35
102279,2020,2021-03-31,115312.0000,,HU GROUP HOLDINGS INC,35
102279,2021,2022-03-31,140179.0000,,HU GROUP HOLDINGS INC,35
102279,2022,2023-03-31,150047.0000,,HU GROUP HOLDINGS INC,35
102429,2020,2020-12-31,1275.9830,0.1570,RECORDATI SPA,35
102429,2021,2021-12-31,1381.6250,0.1230,RECORDATI SPA,35
102429,2022,2022-12-31,1546.2480,0.1450,RECORDATI SPA,35
102529,2020,2020-12-31,928.1970,607.8630,PAUL HARTMANN AG,35
102529,2021,2021-12-31,1043.1170,614.3340,PAUL HARTMANN AG,35
102529,2022,2022-12-31,1078.9600,613.3080,PAUL HARTMANN AG,35
102599,2020,2020-12-31,418.2460,365.8090,METALL ZUG AG,35
102599,2021,2021-12-31,450.9440,,METALL ZUG AG,35
102599,2022,2022-12-31,453.3590,,METALL ZUG AG,35
102740,2019,2020-03-31,37481.0000,,FRANCE BED HLDGS CO LTD,35
102740,2020,2021-03-31,37413.0000,,FRANCE BED HLDGS CO LTD,35
102740,2021,2022-03-31,37541.0000,,FRANCE BED HLDGS CO LTD,35
102740,2022,2023-03-31,38124.0000,,FRANCE BED HLDGS CO LTD,35
102839,2019,2020-03-31,145492.0000,,NIPPON SHINYAKU CO LTD,35
102839,2020,2021-03-31,162255.0000,,NIPPON SHINYAKU CO LTD,35
102839,2021,2022-03-31,180586.0000,,NIPPON SHINYAKU CO LTD,35
102839,2022,2023-03-31,195626.0000,,NIPPON SHINYAKU CO LTD,35
102852,2019,2020-03-31,121775.0000,,NIHON KOHDEN CORP,35
102852,2020,2021-03-31,138986.0000,,NIHON KOHDEN CORP,35
102852,2021,2022-03-31,156381.0000,,NIHON KOHDEN CORP,35
102852,2022,2023-03-31,167604.0000,,NIHON KOHDEN CORP,35
102866,2019,2020-03-31,32338.0000,,JMS CO LTD,35
102866,2020,2021-03-31,34843.0000,,JMS CO LTD,35
102866,2021,2022-03-31,36960.0000,,JMS CO LTD,35
102866,2022,2023-03-31,38531.0000,,JMS CO LTD,35
104980,2020,2020-12-31,1785.0740,,CHINA MEDICAL & HEALTHCARE,35
104980,2021,2021-12-31,1700.5970,,CHINA MEDICAL & HEALTHCARE,35
104980,2022,2022-12-31,1554.9420,,CHINA MEDICAL & HEALTHCARE,35
108564,2020,2020-12-31,50.2500,,TRANSGENE,35
108564,2021,2021-12-31,67.2090,,TRANSGENE,35
108564,2022,2022-12-31,37.8410,,TRANSGENE,35
110620,2020,2020-12-31,,,ICON PLC,35
110620,2021,2021-12-31,,73.8360,ICON PLC,35
110620,2022,2022-12-31,,,ICON PLC,35
117116,2020,2020-06-30,14.1250,,KAZIA THERAPEUTICS LTD,35
117116,2021,2021-06-30,37.8510,,KAZIA THERAPEUTICS LTD,35
117116,2022,2022-06-30,18.6380,,KAZIA THERAPEUTICS LTD,35
117116,2023,2023-06-30,12.0500,,KAZIA THERAPEUTICS LTD,35
138744,2020,2020-12-31,84.5010,0.0790,2INVEST AG,35
138744,2021,2021-12-31,82.6120,0.1580,2INVEST AG,35
138744,2022,2022-12-31,61.5770,0.1250,2INVEST AG,35
138781,2020,2020-12-31,119.7820,,COMPUGEN LTD,35
138781,2021,2021-12-31,106.6930,,COMPUGEN LTD,35
138781,2022,2022-12-31,77.6800,,COMPUGEN LTD,35
151315,2020,2020-12-31,77.6480,,EKF DIAGNOSTICS,35
151315,2021,2021-12-31,94.1240,,EKF DIAGNOSTICS,35
151315,2022,2022-12-31,73.3460,,EKF DIAGNOSTICS,35
165704,2019,2020-03-31,-143.4460,138.5840,LYKA LABS LTD,35
165704,2020,2021-03-31,-257.9670,145.6560,LYKA LABS LTD,35
165704,2021,2022-03-31,133.3840,180.5760,LYKA LABS LTD,35
165704,2022,2023-03-31,454.4060,186.0510,LYKA LABS LTD,35
166032,2019,2020-03-31,-1434.5310,673.9780,WANBURY LTD,35
166032,2020,2021-03-31,-1562.4360,639.4350,WANBURY LTD,35
166032,2021,2022-03-31,-234.1980,740.9890,WANBURY LTD,35
166032,2022,2023-03-31,-328.1610,801.4340,WANBURY LTD,35
176660,2020,2020-12-31,10689.3140,,3SBIO INC,35
176660,2021,2021-12-31,12227.4500,,3SBIO INC,35
176660,2022,2022-12-31,12962.6740,,3SBIO INC,35
177129,2020,2020-12-31,5301.7890,,SIMCERE PHARMACEUTICAL GROUP,35
177129,2021,2021-12-31,6436.9970,,SIMCERE PHARMACEUTICAL GROUP,35
177129,2022,2022-12-31,7126.7610,,SIMCERE PHARMACEUTICAL GROUP,35
200087,2020,2020-12-31,1597.7270,,AIKCHOL HOSPITAL,35
200087,2021,2021-12-31,1854.1790,,AIKCHOL HOSPITAL,35
200087,2022,2022-12-31,2067.0300,,AIKCHOL HOSPITAL,35
200576,2019,2020-03-31,500320.0000,,MEDIPAL HLDGS CORP,35
200576,2020,2021-03-31,523015.0000,,MEDIPAL HLDGS CORP,35
200576,2021,2022-03-31,530306.0000,,MEDIPAL HLDGS CORP,35
200576,2022,2023-03-31,561358.0000,,MEDIPAL HLDGS CORP,35
200759,2020,2020-12-31,441.6000,1.1000,BIOTEST AG,35
200759,2021,2021-12-31,380.4000,0.8000,BIOTEST AG,35
200759,2022,2022-12-31,371.1000,1.2000,BIOTEST AG,35
200774,2020,2020-12-31,87910.1840,,BANGKOK DUSIT MEDICAL SVCS,35
200774,2021,2021-12-31,83845.1930,,BANGKOK DUSIT MEDICAL SVCS,35
200774,2022,2022-12-31,89879.2540,,BANGKOK DUSIT MEDICAL SVCS,35
200789,2020,2020-12-31,509.1360,0.6240,BOIRON SA,35
200789,2021,2021-12-31,531.7350,0.4270,BOIRON SA,35
200789,2022,2022-12-31,557.6160,0.7550,BOIRON SA,35
200865,2020,2020-12-31,18530.3540,,BUMRUNGRAD HOSPITAL PCL,35
200865,2021,2021-12-31,17284.9360,,BUMRUNGRAD HOSPITAL PCL,35
200865,2022,2022-12-31,19704.6160,,BUMRUNGRAD HOSPITAL PCL,35
201215,2020,2020-12-31,6591.6770,,CHINA CHEM & PHARMA CO LTD,35
201215,2021,2021-12-31,7754.1100,,CHINA CHEM & PHARMA CO LTD,35
201215,2022,2022-12-31,7392.7850,,CHINA CHEM & PHARMA CO LTD,35
201253,2020,2020-12-31,540167.8550,,CHONG KUN DANG HLDGS CORP,35
201253,2021,2021-12-31,540979.9020,,CHONG KUN DANG HLDGS CORP,35
201253,2022,2022-12-31,528865.7420,,CHONG KUN DANG HLDGS CORP,35
201255,2020,2020-12-31,204175.2380,,JW PHARMACEUTICAL CORP,35
201255,2021,2021-12-31,197842.2140,,JW PHARMACEUTICAL CORP,35
201255,2022,2022-12-31,236381.1250,,JW PHARMACEUTICAL CORP,35
201399,2020,2020-12-31,6403.3220,,YUNGSHIN GLOBAL HOLDING CORP,35
201399,2021,2021-12-31,6537.9680,,YUNGSHIN GLOBAL HOLDING CORP,35
201399,2022,2022-12-31,7159.8920,,YUNGSHIN GLOBAL HOLDING CORP,35
201419,2020,2020-12-31,-1.1180,,ARAB CENTER PHARMS & CHEMS,35
201419,2021,2021-12-31,-1.2860,0.0330,ARAB CENTER PHARMS & CHEMS,35
201419,2022,2022-12-31,-1.3830,0.0660,ARAB CENTER PHARMS & CHEMS,35
201475,2020,2020-12-31,13228.0000,,CREATE MEDIC CO LTD,35
201475,2021,2021-12-31,14220.0000,,CREATE MEDIC CO LTD,35
201475,2022,2022-12-31,14724.0000,,CREATE MEDIC CO LTD,35
201487,2020,2020-12-31,31.1180,,DAR AL DAWA DEV & INVESTMENT,35
201487,2021,2021-12-31,41.7370,,DAR AL DAWA DEV & INVESTMENT,35
201487,2022,2022-12-31,43.4590,,DAR AL DAWA DEV & INVESTMENT,35
201504,2020,2020-12-31,685329.6330,,DAEWOONG CO LTD,35
201504,2021,2021-12-31,730557.6480,,DAEWOONG CO LTD,35
201504,2022,2022-12-31,828828.7010,,DAEWOONG CO LTD,35
201613,2020,2020-12-31,1634.3830,,DEVA HLDG AS,35
201613,2021,2021-12-31,2727.7760,,DEVA HLDG AS,35
201613,2022,2022-12-31,3936.8240,,DEVA HLDG AS,35
201665,2020,2020-12-31,888711.3480,,DONG A SOCIO HOLDINGS CO LTD,35
201665,2021,2021-12-31,965159.4990,,DONG A SOCIO HOLDINGS CO LTD,35
201665,2022,2022-12-31,981988.9960,,DONG A SOCIO HOLDINGS CO LTD,35
201669,2020,2020-06-30,23.6370,8.2520,BOTANIX PHARMACEUTICALS LTD,35
201669,2021,2021-06-30,20.8010,2.2440,BOTANIX PHARMACEUTICALS LTD,35
201669,2022,2022-06-30,8.1520,3.5560,BOTANIX PHARMACEUTICALS LTD,35
201669,2023,2023-06-30,22.9510,3.0380,BOTANIX PHARMACEUTICALS LTD,35
201739,2020,2020-06-30,1314.9470,319.7570,EBOS GROUP LTD,35
201739,2021,2021-06-30,1411.0240,350.8510,EBOS GROUP LTD,35
201739,2022,2022-06-30,2264.8120,413.8140,EBOS GROUP LTD,35
201739,2023,2023-06-30,2434.3920,521.0200,EBOS GROUP LTD,35
201772,2019,2020-03-31,37304.0000,,EIKEN CHEMICAL CO LTD,35
201772,2020,2021-03-31,41673.0000,,EIKEN CHEMICAL CO LTD,35
201772,2021,2022-03-31,45804.0000,,EIKEN CHEMICAL CO LTD,35
201772,2022,2023-03-31,49535.0000,,EIKEN CHEMICAL CO LTD,35
201908,2019,2020-03-31,32391.0000,,JCR PHARMACEUTICALS CO LTD,35
201908,2020,2021-03-31,38383.0000,,JCR PHARMACEUTICALS CO LTD,35
201908,2021,2022-03-31,50884.0000,,JCR PHARMACEUTICALS CO LTD,35
201908,2022,2023-03-31,52163.0000,,JCR PHARMACEUTICALS CO LTD,35
201954,2020,2020-12-31,10466.0000,,KOKEN LTD,35
201954,2021,2021-12-31,11113.0000,,KOKEN LTD,35
201954,2022,2022-12-31,11819.0000,,KOKEN LTD,35
202173,2019,2020-03-31,18893.0000,,FALCO HOLDINGS CO LTD,35
202173,2020,2021-03-31,20486.0000,,FALCO HOLDINGS CO LTD,35
202173,2021,2022-03-31,23478.0000,,FALCO HOLDINGS CO LTD,35
202173,2022,2023-03-31,26592.0000,,FALCO HOLDINGS CO LTD,35
202305,2020,2020-12-31,16949.0000,,FRESENIUS SE & CO KGAA,35
202305,2021,2021-12-31,18998.0000,,FRESENIUS SE & CO KGAA,35
202305,2022,2022-12-31,20415.0000,,FRESENIUS SE & CO KGAA,35
202481,2019,2020-03-31,10626.0000,,SEED CO LTD (OPTICS),35
202481,2020,2021-03-31,11493.0000,,SEED CO LTD (OPTICS),35
202481,2021,2022-03-31,12257.0000,,SEED CO LTD (OPTICS),35
202481,2022,2023-03-31,11863.0000,,SEED CO LTD (OPTICS),35
202546,2020,2020-09-30,9764.0000,48.0000,NETCARE LTD,35
202546,2021,2021-09-30,9933.0000,56.0000,NETCARE LTD,35
202546,2022,2022-09-30,10887.0000,56.0000,NETCARE LTD,35
202546,2023,2023-09-30,11017.0000,62.0000,NETCARE LTD,35
202572,2019,2020-03-31,18206.0490,6153.4180,GLAXO SMITHKLINE PHARM LTD,35
202572,2020,2021-03-31,14990.7970,6018.3730,GLAXO SMITHKLINE PHARM LTD,35
202572,2021,2022-03-31,26629.5580,6036.8650,GLAXO SMITHKLINE PHARM LTD,35
202572,2022,2023-03-31,17412.7300,5924.5230,GLAXO SMITHKLINE PHARM LTD,35
202573,2020,2020-12-31,17478.2640,,GLAXOSMITHKLINE PAKISTAN LTD,35
202573,2021,2021-12-31,20986.6650,,GLAXOSMITHKLINE PAKISTAN LTD,35
202573,2022,2022-12-31,21053.1070,,GLAXOSMITHKLINE PAKISTAN LTD,35
202680,2020,2020-12-31,364.3050,237.8070,GUERBET SA,35
202680,2021,2021-12-31,405.0920,232.1790,GUERBET SA,35
202680,2022,2022-12-31,379.5700,241.0630,GUERBET SA,35
202708,2020,2020-12-31,11.0900,0.1160,SURGICAL INNOVATIONS GRP PLC,35
202708,2021,2021-12-31,10.6640,0.0300,SURGICAL INNOVATIONS GRP PLC,35
202708,2022,2022-12-31,10.9630,0.0350,SURGICAL INNOVATIONS GRP PLC,35
202726,2020,2020-12-31,381298.0220,,HANDOK INC,35
202726,2021,2021-12-31,383996.4110,,HANDOK INC,35
202726,2022,2022-12-31,379812.4730,,HANDOK INC,35
202738,2019,2020-03-31,722.7770,,TIANDA PHARMACEUTICALS LTD,35
202738,2020,2021-03-31,756.7090,,TIANDA PHARMACEUTICALS LTD,35
202738,2021,2022-03-31,756.7540,,TIANDA PHARMACEUTICALS LTD,35
202738,2022,2022-12-31,627.8310,,TIANDA PHARMACEUTICALS LTD,35
202830,2020,2020-12-31,17405532.9300,,KALBE FARMA,35
202830,2021,2021-12-31,19579526.2420,,KALBE FARMA,35
202830,2022,2022-12-31,20385217.9710,,KALBE FARMA,35
202942,2019,2020-03-31,192466.0000,,KISSEI PHARMACEUTICAL CO LTD,35
202942,2020,2021-03-31,219316.0000,,KISSEI PHARMACEUTICAL CO LTD,35
202942,2021,2022-03-31,201386.0000,,KISSEI PHARMACEUTICAL CO LTD,35
202942,2022,2023-03-31,193901.0000,,KISSEI PHARMACEUTICAL CO LTD,35
203074,2019,2020-03-31,7207.3000,1101.9000,NOVARTIS INDIA LTD,35
203074,2020,2021-03-31,7111.9000,1067.7000,NOVARTIS INDIA LTD,35
203074,2021,2022-03-31,6917.0000,1000.4000,NOVARTIS INDIA LTD,35
203074,2022,2023-03-31,7756.6000,352.5000,NOVARTIS INDIA LTD,35
203086,2019,2020-02-29,249277.0000,,HISAMITSU PHARMACEUTICAL CO,35
203086,2020,2021-02-28,252300.0000,,HISAMITSU PHARMACEUTICAL CO,35
203086,2021,2022-02-28,253169.0000,,HISAMITSU PHARMACEUTICAL CO,35
203086,2022,2023-02-28,256366.0000,,HISAMITSU PHARMACEUTICAL CO,35
203113,2020,2020-12-31,21190.0000,4491.0000,SANOFI INDIA LTD,35
203113,2021,2021-12-31,22256.0000,4278.0000,SANOFI INDIA LTD,35
203113,2022,2022-12-31,12758.0000,4038.0000,SANOFI INDIA LTD,35
203114,2020,2020-12-31,4562.0980,,HOECHST PAKISTAN LIMITED,35
203114,2021,2021-12-31,5218.5210,,HOECHST PAKISTAN LIMITED,35
203114,2022,2022-12-31,5029.6920,,HOECHST PAKISTAN LIMITED,35
203116,2019,2020-03-31,93819.0000,,HOGY MEDICAL CO LTD,35
203116,2020,2021-03-31,95879.0000,,HOGY MEDICAL CO LTD,35
203116,2021,2022-03-31,79960.0000,,HOGY MEDICAL CO LTD,35
203116,2022,2023-03-31,83606.0000,,HOGY MEDICAL CO LTD,35
203250,2020,2020-12-31,122709.1540,,ILDONG HOLDINGS CO LTD,35
203250,2021,2021-12-31,53328.0320,,ILDONG HOLDINGS CO LTD,35
203250,2022,2022-12-31,11812.9800,,ILDONG HOLDINGS CO LTD,35
203251,2020,2020-12-31,206081.1130,,IL YANG PHARMACEUTICAL CO,35
203251,2021,2021-12-31,223002.0950,,IL YANG PHARMACEUTICAL CO,35
203251,2022,2022-12-31,233540.9360,,IL YANG PHARMACEUTICAL CO,35
203403,2020,2020-12-31,772.7680,,AIDIGONG MATERNAL & CHILD,35
203403,2021,2021-12-31,1096.7130,,AIDIGONG MATERNAL & CHILD,35
203403,2022,2022-12-31,906.7530,,AIDIGONG MATERNAL & CHILD,35
203409,2020,2020-11-30,21652.0000,,ASTENA HOLDINGS CO LTD,35
203409,2021,2021-11-30,27000.0000,,ASTENA HOLDINGS CO LTD,35
203409,2022,2022-11-30,26986.0000,,ASTENA HOLDINGS CO LTD,35
203409,2023,2023-11-30,28420.0000,,ASTENA HOLDINGS CO LTD,35
